nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-29 12:40","주식회사 동원브이아 (중구세종대로22길)","도시활력증진계획검토간담회 ","행정2부시장등 4명",카드,84000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-29 10:10","서울시청구내식당 (중구세종대로110)","투자출연기관현안업무회의 간담회 다과구매","행정2부시장등 18명",카드,36000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-29 22:50","금해복집 (종로구진흥로461)","재건축,재개발디자인 국제공모 실현방안전략수립간담회","행정2부시장등 14명",카드,480000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-28 00:00"," ","성동구도시관리국직원경조사비지급 ","행정2부시장 ",현금,50000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-28 00:00"," ","북부도로사업소직원경조사비 지급 ","행정2부시장 ",현금,50000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-27 00:00"," ","상수도사업본부직원경조사비 지급 ","행정2부시장 ",현금,50000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-26 13:00","우도일식 (중구세종대로124)","도시개발사업소셜믹스 적용방안 검토간담회","행정2부시장등 9명",카드,285000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 00:00"," ","안전총괄본부직원경조사비 지급 ","행정2부시장 ",현금,50000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 19:10","이북만두 (중구무교로17-13)","공공개발센터현안업무추진직원 격려","행정2부시장등 8명",카드,125000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 00:00","명진상회 (중구남대문로4가)","행정2부시장실방문객접대용 다과구매","이복원등다수 ",카드,163500
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 13:40","가메골옛날손왕만두 (중구남대문시장4길42","정릉천고가통제관련 안전대책 추진직원격려","안전총괄과장등 170명",카드,455000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 13:00","（주）한미리푸드어소 (중구청계천로8)","도시계획, 건축분야박물관 추진 간담회","행정2부시장등 4명",카드,111000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 09:50","서울시청신매점 (중구세종대로)","투자출연기관현안업무회의 간담회 다과구매","행정2부시장등 14명",카드,42000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-25 09:40","서울시청구내식당 (중구세종대로110)","국,본부장간담회개최 ","행정2부시장등 24명",카드,156000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-24 20:19","장안삼계탕 (중구태평로2가)","도시재생본부현안업무추진직원 격려","행정2부시장등 18명",카드,402000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-24 14:20","서울시청매점 (중구서소문동)","행정2부시장실방문객접대용 다과구매","김정덕외다수 ",카드,487900
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-24 13:00","포도나무 (종로구사직로108-1","도시안전본부현안업무추진직원 격려","행정2부시장 비서관등 10명",카드,378000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-23 21:00","편안한집 (종로구북촌로133)","시정주요정책추진검토 간담회 개최","행정2부시장등 5명",카드,140000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-23 13:20","투뿔등심 광화문 (중구세종대로136)","노량진일대마스터플랜수립 간담회 ","행정2부시장등 7명",카드,268000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-22 12:50","누이애 단팥빵 (중구세종대로110)","정릉천고가통제관련 교통정책추진 직원격려","교통정책과장등 170명",카드,334000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-22 12:40","이북만두 (중구무교로17-13)","도시재생본부현안업무추진직원 격려","행정2부시장등 13명",카드,295000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-21 00:00"," ","서울시설공단직원경조사비 지급 ","행정2부시장 ",현금,50000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-20 14:50","능금산장 (종로구구기동)","재난안전컨트롤타워기능강화 방안 마련워크숍","행정2부시장등 94명",카드,1800000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-19 12:40","（주）바닷가작은부엌 (중구덕수궁길7)","물순환안전국현안업무추진직원 격려","행정2부시장등 9명",카드,153000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-18 13:40","더미 시청점 (중구남대문로9길40","안전총괄본부현안업무추진직원 격려","행정2부시장등 11명",카드,350000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-18 22:30","우도일식 (중구세종대로124)","도시재생본부현안업무추진직원 격려","행정2부시장등 16명",카드,485000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-17 00:00"," ","소방재난본부직원경조사비 지급 ","행정2부시장 ",현금,50000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-17 16:30","서울시청신매점 (중구세종대로)","안전분야기획관회의간담회 개최 ","행정2부시장등 15명",카드,72000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-17 15:50","서울청과 (중구남대문시장길12-1","2016년설연휴비상근무 직원 격려","최자영등 370명",카드,460000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-17 22:10","（주）춘산에프앤비 (중구태평로1가)","도시계획국현안업무추진 직원 격려","행정2부시장등 6명",카드,175500
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-17 12:40","송학 (종로구종로14)","뉴스테이대응방안및제도개선 추진간담회","행정2부시장등 8명",카드,234000
7818230,"2016년 2월 행정2부시장 업무추진비 집행내역",http://opengov.seoul.go.kr/public/7818230,서울시본청,행정2부시장,,,,2016,2,,,"시정 관련 간담회 등",행정2부시장,"2016-02-16 13:00","서울시청매점 (중구서소문동)","행정2부시장실방문객접대용 다과구매","김현경외다수 ",카드,483800
