package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
172650584978000,20171002,기록관리,불시보안점검표(재난관리과),소방행정과-13438,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442322
172650585034000,20171002,기록관리,불시보안점검표(예방과),소방행정과-13439,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442748
172650585085000,20171002,기록관리,불시보안점검표(현장대응단),소방행정과-13440,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442749
172650586767000,20171002,기록관리,불시보안점검표(휘경),소방행정과-13441,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442750
172650586869000,20171002,기록관리,불시보안점검표(용두),소방행정과-13442,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442752
172650586936000,20171002,기록관리,불시보안점검표(전농),소방행정과-13443,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442753
172650586982000,20171002,기록관리,불시보안점검표(청량리),소방행정과-13444,김재현,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442754
172680624767000,20171003,복무관리,"출장 결재 신청 (2017-09-25)",청량리119안전센터-4450,신동만,3년,청량리119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442809
172680712879000,20171002,화재진압운영,"소방활동 자료조사 보고(수협동대문지점)",현장대응단-6483,박재철,영구,현장대응단,부분공개,,
172680713122000,20171002,화재진압운영,"소방활동 자료조사 보고(광희문 교회)",현장대응단-6482,박재철,영구,현장대응단,부분공개,,
172690713879000,20171007,병동운영및관리,"53병동 소공녀모임 결과보고(소통하고 공감하는 여자들의 모임)",간호부-10939,한아름,5년,간호부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13444696
172690732200000,20171003,일반업무관리,"보수반 업무일지(9. 25)",시설과-6198,윤영면,3년,시설과,공개,,
172690732534000,20171003,일반업무관리,"보수반 업무일지(9. 23)",시설과-6197,윤영면,3년,시설과,공개,,
172690733483000,20171003,일반업무관리,"보수반 업무일지(9. 22)",시설과-6196,윤영면,3년,시설과,공개,,
172690733811000,20171002,복무관리,초과근무명령서(2017.10.3.),미근119안전센터-3950,천익희,3년,미근119안전센터,공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442751
172690740190000,20171002,비상대응계획수립및운영,"건축공사장 관리카드 작성 결과 알림(현장대응단)",현장대응단-7876,박민,3년,현장대응단,비공개,"CC BY",https://opengov.seoul.go.kr/sanction/13442747
