package_id,doc_prdctn_dt,tkcrd_nm,title,src_dept_doc_no,writer,othbc_pd,rspnber_dept_nm,othbc_se,cpyrht,url
200309687213000,20200130,인사관리,"질병 휴직원 제출(이**)-수정",진료부-776,정용택,3년,진료부,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674232
200309687226000,20200131,시민생활농업교육,"신종 코로나바이러스 감염 대비 예방물품(마스크) 구입",서울특별시농업기술센터-1203,노현지,3년,서울특별시농업기술센터,부분공개,,
200309687230000,20200130,일반업무관리,"소방이륜차 순찰 노선 및 담당자 정비 결과 제출",현장대응단-675,소민재,3년,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674233
200309687232000,20200130,정보공개청구및이송확인,"119구급 이송사실 확인서 발급 의뢰에 관한 자료 회신",재난관리과-666,이수민,3년,재난관리과,부분공개,,
200309687235000,20200130,고액체납결손관리,"공매대행 해제(공유자 과다) 협의에 따른 회신",38세금징수과-1997,이용범,준영구,38세금징수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674234
200309687236000,20200130,급여및수당관리,"2020년 2월 복리후생비 지급",소방행정과-2559,최하나,5년,소방행정과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674235
200309687243000,20200130,상수도용역검수및준공관리,"검사원지정요구서(전산실 보안장치 재설치 용역)",재무회계과-1398,이구연,5년,재무회계과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674236
200309687244000,20200130,국제물류주선업등록및관리,"국제물류주선업 등록업체 자료 제출",택시물류과-4020,성은혜,준영구,택시물류과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674237
200309687250000,20200130,급수업종변경처리,"급수업종변경 처리조서",요금과-2199,정유진,10년,요금과,부분공개,,
200309687256000,20200130,민원업무처리,"시보게재 의뢰",시민봉사담당관-2256,최영아,10년,시민봉사담당관,공개,,
200309687264000,20200130,신경과운영,"2020년 은평의 마을로 찾아가는 비약물치료프로그램 실시계획",진료부-821,김재원,10년,진료부,공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674238
200309687266000,20200131,일반업무관리,"2020년 수도자재관리센터 운영 개선 방안",수도자재관리센터-1407,진용학,3년,수도자재관리센터,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19684480
200309687267000,20200130,보안비밀,"2020년 2월 일일보안당번 근무명령",도로보수과-837,유지원,3년,도로보수과,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674239
200309687268000,20200130,일반업무관리,"- 2020년 서울민주주의위원회 직원 대상 -청렴 및 직장 내 성폭력 예방 교육 실시계획",서울민주주의담당관-973,염서윤,3년,서울민주주의담당관,공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674240
200309687269000,20200130,초과근무관리,"초과근무명령서(현장대응단, 2020-02-03)",현장대응단-514,김영선,3년,현장대응단,부분공개,"CC BY",https://opengov.seoul.go.kr/sanction/19674241
